Country,Life Expectancy (2019),Drinking Water,Hand_Washing,Safe_Sanitation
Afghanistan,63.2,28,38,-
Albania,78,71,-,48
Algeria,77.1,72,85,18
Andorra,-,91,-,100
Angola,63.1,-,27,-
Antigua and Barbuda,76.5,-,-,-
Argentina,76.6,-,-,-
Armenia,76,87,95,69
Australia,83,-,-,74
Austria,81.6,99,-,100
Azerbaijan,71.4,88,-,-
Bahamas,73.2,-,-,-
Bahrain,75.8,99,-,91
Bangladesh,74.3,59,58,39
Barbados,76,-,-,-
Belarus,74.8,95,-,74
Belgium,81.4,100,-,89
Belize,74.4,-,90,-
Benin,63.4,-,12,-
Bhutan,73.1,37,92,65
Bolivia (Plurinational State of),72.1,-,27,53
Bosnia and Herzegovina,76.8,89,-,-
Botswana,62.2,-,-,-
Brazil,75.9,86,-,49
Brunei Darussalam,74.3,-,-,-
Bulgaria,75.1,98,-,72
Burkina Faso,62.7,-,9,-
Burundi,63.8,-,6,-
Cabo Verde,74,-,-,-
Cambodia,70.1,28,74,-
Cameroon,62.4,-,36,-
Canada,82.2,99,-,84
Central African Republic,53.1,6,22,14
Chad,59.6,6,25,10
Chile,80.7,99,-,79
China,77.4,-,-,70
Colombia,79.3,73,68,18
Comoros,67.4,-,-,-
Congo,64.7,46,-,-
Cook Islands,-,-,-,-
Costa Rica,80.8,81,86,30
Côte d'Ivoire,62.9,35,22,-
Croatia,78.6,-,-,68
Cuba,77.8,-,92,37
Cyprus,83.1,100,-,77
Czechia,79.1,98,-,85
Democratic People's Republic of Korea,72.6,66,-,-
Democratic Republic of the Congo,62.4,19,19,13
Denmark,81.3,97,-,92
Djibouti,65.8,-,-,37
Dominica,-,-,-,-
Dominican Republic,72.8,-,47,-
Ecuador,78.4,67,87,42
Egypt,71.8,-,90,67
El Salvador,75,-,-,-
Equatorial Guinea,62.2,-,-,-
Eritrea,64.1,-,-,-
Estonia,78.9,96,-,93
Eswatini,57.7,-,24,-
Ethiopia,68.7,13,8,7
Fiji,68,-,-,-
Finland,81.6,100,-,84
France,82.5,99,-,79
Gabon,66.5,-,-,-
Gambia,65.5,45,18,29
Georgia,73.3,66,92,34
Germany,81.7,100,-,97
Ghana,66.3,41,42,13
Greece,81.1,100,-,92
Grenada,72.9,-,-,-
Guatemala,72,56,-,-
Guinea,61,-,20,-
Guinea-Bissau,60.2,24,18,12
Guyana,65.7,-,-,-
Haiti,64.1,-,22,-
Honduras,71.9,-,-,50
Hungary,76.4,93,-,88
Iceland,82.3,100,-,84
India,70.8,-,68,46
Indonesia,71.3,-,94,-
Iran (Islamic Republic of),77.3,94,-,-
Iraq,72.4,60,97,43
Ireland,81.8,97,-,83
Israel,82.6,99,-,95
Italy,83,96,-,96
Jamaica,76,-,-,-
Japan,84.3,99,-,81
Jordan,77.9,86,-,82
Kazakhstan,74,89,-,-
Kenya,66.1,-,27,-
Kiribati,59.4,15,56,27
Kuwait,81,100,-,100
Kyrgyzstan,74.2,70,100,92
Lao People's Democratic Republic,68.5,18,56,61
Latvia,75.4,96,-,83
Lebanon,76.4,48,-,16
Lesotho,50.7,29,6,48
Liberia,64.1,-,-,-
Libya,75.8,-,-,22
Lithuania,76,95,-,94
Luxembourg,82.4,99,-,97
Madagascar,65.3,21,27,10
Malawi,65.6,-,8,24
Malaysia,74.7,94,-,-
Maldives,79.6,-,96,-
Mali,62.8,-,17,20
Malta,81.9,100,-,92
Marshall Islands,-,-,85,-
Mauritania,68.4,-,-,-
Mauritius,74.1,-,-,-
Mexico,76,43,-,57
Micronesia (Federated States of),63,-,-,-
Monaco,-,100,-,100
Mongolia,68.1,30,86,56
Montenegro,75.9,85,99,45
