country,location,life_expectancy,female,male
Afghanistan,"33.93911, 67.70995",65.98,67.59,64.47
Albania,"41.15333, 20.16833",78.96,80.48,77.48
Algeria,"28.03389, 1.65963",77.5,78.76,76.3
Angola,"-11.20269, 17.87389",62.22,65.12,59.46
Antigua and Barbuda,"17.06082, -61.79643",77.47,78.58,76.26
Argentina,"-38.4161, -63.61667",77.17,80.42,73.82
Armenia,"40.0691, 45.03819",75.55,78.9,71.82
Aruba,"12.52111, -69.96834",76.79,79.1,74.26
Australia,"-25.2744, 133.77513",83.94,85.8,82.08
Austria,"47.51623, 14.55007",82.05,84.19,79.88
Azerbaijan,"40.14311, 47.57693",73.33,75.87,70.76
Bahamas,"25.03428, -77.39628",74.28,76.51,71.95
Bahrain,"25.93041, 50.63777",77.73,78.88,76.87
Bangladesh,"23.68499, 90.35633",73.57,75.6,71.8
Barbados,"13.19389, -59.5432",79.64,80.85,78.36
Belarus,"53.70981, 27.95339",75.2,79.9,70.15
Belgium,"50.50389, 4.46994",82.17,84.31,80
Belize,"17.18988, -88.49765",75.09,78.25,72.14
Benin,"9.30769, 2.31583",62.84,64.45,61.23
Bhutan,"27.51416, 90.4336",72.77,73.33,72.27
Bolivia,"-16.29015, -63.58865",72.35,75.35,69.5
Bosnia and Herzegovina,"43.91589, 17.67908",77.93,80.32,75.48
Botswana,"-22.32847, 24.68487",69.86,72.69,66.72
Brazil,"-14.235, -51.92528",76.57,80.14,73.01
Brunei,"4.53528, 114.72767",76.35,77.64,75.17
Bulgaria,"42.73388, 25.48583",75.49,79.06,72.05
Burkina Faso,"12.23833, -1.56159",62.98,63.78,62.06
Burundi,"-3.37306, 29.91889",62.71,64.56,60.85
Cambodia,"12.56568, 104.99097",70.54,72.69,68.2
Cameroon,"7.36972, 12.35472",60.32,61.66,58.99
Canada,"56.13037, -106.34677",82.96,84.74,81.15
Central African Republic,"6.61111, 20.93944",54.36,56.58,52.16
Chad,"15.45417, 18.73221",55.17,56.65,53.73
Czech Republic (Czechia),"49.817492, 15.472962",79.85,82.35,77.33
Chile,"-35.67515, -71.54297",80.74,82.8,78.54
China,"35.86166, 104.1954",77.47,79.73,75.36
Colombia,"4.57087, -74.29733",77.87,80.54,75.18
Comoros,"-11.875, 43.87222",65.03,66.88,63.24
Costa Rica,"9.74892, -83.75343",80.94,83.39,78.53
Cote d'Ivoire,"7.53999, -5.54708",58.75,60.13,57.5
Croatia,"45.1, 15.2",79.02,82.02,75.95
Cuba,"21.52176, -77.78117",79.18,81.12,77.25
Cyprus,"35.12641, 33.42986",81.51,83.45,79.55
Democratic Republic of Congo,"-4.038333, 21.758664 ",61.6,63.21,60
Denmark,"56.26392, 9.50179",81.4,83.27,79.54
Djibouti,"11.82514, 42.59028",67.87,70.16,65.84
Dominican Republic,"18.73569, -70.16265",74.65,77.9,71.58
Ecuador,"-1.83124, -78.1834",77.71,80.45,75.05
Egypt,"26.82055, 30.8025",72.54,74.95,70.23
El Salvador,"13.79419, -88.89653",74.06,78.48,69.27
Equatorial Guinea,"1.6508, 10.2679",59.82,61.08,58.76
Eritrea,"15.17938, 39.78233",67.48,69.75,65.26
Estonia,"58.59527, 25.01361",79.18,83.06,74.98
Ethiopia,"9.145, 40.48967",67.81,69.8,65.86
Fiji,"-16.57819, 179.41441",67.91,69.97,66
Finland,"61.92411, 25.74815",82.48,85.14,79.82
France,"46.22764, 2.21375",83.13,85.82,80.32
French Guiana,"3.93389, -53.12578",80.53,83.38,77.8
French Polynesia,"-17.67974, -149.40685",78.23,80.41,76.23
Gabon,"-0.80369, 11.60944",67.03,69.27,64.93
Gambia,"13.44318, -15.31014",63.26,64.73,61.8
Georgia,"42.31541, 43.35689",74.24,78.54,69.85
Germany,"51.16569, 10.45153",81.88,84.14,79.62
Ghana,"7.94653, -1.02319",64.94,66.13,63.78
Greece,"39.07421, 21.82431",82.8,85.08,80.52
Grenada,"12.26278, -61.60417",72.59,75.16,70.24
Guadeloupe,"16.99597, -62.06764",82.74,85.94,79.16
Guam,"13.4443, 144.79373",80.74,83.98,77.63
Guatemala,"15.78347, -90.23076",75.05,77.89,72.14
Guinea,"9.94559, -9.69665",62.64,63.25,61.79
Guinea-Bissau,"11.80375, -15.18041",59.38,61.33,57.31
Guyana,"4.86042, -58.93018",70.26,73.53,67.22
Haiti,"18.97119, -72.28522",64.99,67.21,62.77
Honduras,"15.2, -86.24191",75.87,78.14,73.57
Hong Kong,"22.39643, 114.1095",85.29,88.17,82.38
Hungary,"47.1625, 19.5033",77.31,80.66,73.78
Iceland,"64.96305, -19.02084",83.52,84.9,82.15
India,"20.59368, 78.96288",70.42,71.8,69.16
Indonesia,"-0.78928, 113.92133",72.32,74.64,70.12
Iran,"32.42791, 53.68805",77.33,78.54,76.22
Iraq,"33.22319, 43.67929",71.08,73.21,68.96
Ireland,"53.41291, -8.24389",82.81,84.32,81.29
Israel,"31.04605, 34.85161",83.49,84.91,81.98
Italy,"41.87194, 12.56738",84.01,85.97,81.9
Jamaica,"18.10958, -77.29751",74.88,76.6,73.17
Japan,"36.20482, 138.25293",85.03,88.09,81.91
Jordan,"30.58516, 36.23842",75.01,76.82,73.28
Kazakhstan,"48.01957, 66.92368",73.9,77.97,69.55
Kenya,"-0.02356, 37.90619",67.47,69.87,65.04
Kiribati,"-3.37042, -168.73404",69.17,73.12,65
Kuwait,"29.31166, 47.48177",75.85,77.06,75.09
Kyrgyzstan,"41.20438, 74.7661",71.95,76.03,67.85
Laos,"19.85627, 102.4955",68.89,70.79,67.04
Latvia,"56.87964, 24.60319",75.73,80.37,70.81
Lebanon,"33.85472, 35.86229",79.27,81.17,77.53
Lesotho,"-29.60999, 28.23361",55.65,58.9,52.52
Liberia,"6.42806, -9.4295",65,66.48,63.54
Libya,"26.3351, 17.22833",73.44,76.46,70.61
Lithuania,"55.16944, 23.88128",76.41,81.7,70.97
Luxembourg,"49.81527, 6.12958",82.79,84.76,80.83
Madagascar,"-18.76695, 46.86911",68.21,69.92,66.53
Malawi,"-13.25431, 34.30153",65.62,68.77,62.45
Malaysia,"4.21048, 101.97577",76.65,78.78,74.71
Maldives,"3.20278, 73.22068",79.89,81.58,78.53
Mali,"17.57069, -3.99617",60.54,61.39,59.69
Malta,"35.9375, 14.37542",83.06,84.68,81.37
Martinique,"14.64153, -61.02417",83.13,86.1,79.85
Mauritania,"21.00789, -10.94084",65.57,67.24,63.88
Mauritius,"-20.3484, 57.55215",75.51,78.92,72.21
Mayotte,"-12.8275, 45.16625",79.85,83.24,76.62
Mexico,"23.6345, -102.55279",75.41,78.17,72.62
Micronesia,"7.42555, 150.55081",74.08,77.2,71.14
Moldova,"47.41163, 28.36988",72.3,76.53,68.02
Mongolia,"46.8625, 103.84666",70.53,74.79,66.43
Montenegro,"42.70868, 19.37439",77.39,79.77,74.99
Morocco,"31.7917, -7.09262",77.43,78.66,76.17
Mozambique,"-18.6657, 35.52956",62.13,64.95,59.05
Myanmar ,"21.913965, 95.956223",67.78,70.81,64.65
Namibia,"-22.95764, 18.49041",64.86,67.67,61.83
Nepal,"28.39486, 84.12401",71.74,73.23,70.13
Netherlands,"52.13263, 5.29127",82.78,84.35,81.2
New Caledonia,"-20.90431, 165.61804",78.16,80.89,75.61
New Zealand,"-40.90056, 174.88597",82.8,84.38,81.2
Nicaragua,"12.86542, -85.20723",75.23,78.65,71.75
Niger,"17.60779, 8.08167",63.62,64.89,62.41
Nigeria,"9.082, 8.67528",55.75,56.75,54.8
North Korea,"40.33985, 127.51009",72.89,76.37,69.26
Norway,"60.47202, 8.46895",82.94,84.78,81.11
Oman,"21.51258, 55.92326",78.58,80.94,76.9
Pakistan,"30.37532, 69.34512",67.79,68.9,66.77
