Country,Location_,Life_expectancy,Drinking_Water,Hand_Washing,Safe_Sanitation
Afghanistan,"[33.93911,67.709953]",63.2,28,38,-
Albania,"[41.153332,20.168331]",78,71,-,48
Algeria,"[28.033886,1.659626]",77.1,72,85,18
Angola,"[-11.202692,17.873887]",63.1,-,27,-
Antigua and Barbuda,"[17.060816,-61.796428]",76.5,-,-,-
Argentina,"[-38.416097,-63.616672]",76.6,-,-,-
Armenia,"[40.069099,45.038189]",76,87,95,69
Australia,"[-25.274398,133.775136]",83,-,-,74
Austria,"[47.516231,14.550072]",81.6,99,-,100
Azerbaijan,"[40.143105,47.576927]",71.4,88,-,-
Bahamas,"[25.03428,-77.39628]",73.2,-,-,-
Bahrain,"[25.930414,50.637772]",75.8,99,-,91
Bangladesh,"[23.684994,90.356331]",74.3,59,58,39
Barbados,"[13.193887,-59.543198]",76,-,-,-
Belarus,"[53.709807,27.953389]",74.8,95,-,74
Belgium,"[50.503887,4.469936]",81.4,100,-,89
Belize,"[17.189877,-88.49765]",74.4,-,90,-
Benin,"[9.30769,2.315834]",63.4,-,12,-
Bhutan,"[27.514162,90.433601]",73.1,37,92,65
Bolivia,"[-16.290154,-63.588653]",72.1,-,27,53
Bosnia and Herzegovina,"[43.915886,17.679076]",76.8,89,-,-
Botswana,"[-22.328474,24.684866]",62.2,-,-,-
Brazil,"[-14.235004,-51.92528]",75.9,86,-,49
Brunei,"[4.535277,114.727669]",74.3,-,-,-
Bulgaria,"[42.733883,25.48583]",75.1,98,-,72
Burkina Faso,"[12.238333,-1.561593]",62.7,-,9,-
Burundi,"[-3.373056,29.918886]",63.8,-,6,-
CaboVerde,"[16.002082,-24.013197]",74,-,-,-
Cambodia,"[12.565679,104.990963]",70.1,28,74,-
Cameroon,"[7.369722,12.354722]",62.4,-,36,-
Canada,"[56.130366,-106.346771]",82.2,99,-,84
Central African Republic,"[6.611111,20.939444]",53.1,6,22,14
Chad,"[15.454166,18.732207]",59.6,6,25,10
Chile,"[-35.675147,-71.542969]",80.7,99,-,79
China,"[35.86166,104.195397]",77.4,-,-,70
Colombia,"[4.570868,-74.297333]",79.3,73,68,18
Comoros,"[-11.875001,43.872219]",67.4,-,-,-
Congo,"[-0.228021,15.827659]",64.7,46,-,-
Costa Rica,"[9.748917,-83.753428]",80.8,81,86,30
Cote d'Ivoire,"[7.539989,-5.54708]",62.9,35,22,-
Croatia,"[45.1,15.2]",78.6,-,-,68
Cuba,"[21.521757,-77.781167]",77.8,-,92,37
Cyprus,"[35.126413,33.429859]",83.1,100,-,77
Czechia,"[49.817492,15.472962]",79.1,98,-,85
Democratic People's Republic of Korea,"[40.339852,127.510093]",72.6,66,-,-
Democratic Republic of the Congo,"[-4.038333,21.758664]",62.4,19,19,13
Denmark,"[56.26392,9.501785]",81.3,97,-,92
Djibouti,"[11.825138,42.590275]",65.8,-,-,37
Dominican Republic,"[18.735693,-70.162651]",72.8,-,47,-
Ecuador,"[-1.831239,-78.183406]",78.4,67,87,42
Egypt,"[26.820553,30.802498]",71.8,-,90,67
El Salvador,"[13.794185,-88.89653]",75,-,-,-
Equatorial Guinea,"[1.650801,10.267895]",62.2,-,-,-
Eritrea,"[15.179384,39.782334]",64.1,-,-,-
Estonia,"[58.595272,25.013607]",78.9,96,-,93
Ethiopia,"[9.145,40.489673]",68.7,13,8,7
Fiji,"[-16.578193,179.414413]",68,-,-,-
Finland,"[61.92411,25.748151]",81.6,100,-,84
France,"[46.227638,2.213749]",82.5,99,-,79
Gabon,"[-0.803689,11.609444]",66.5,-,-,-
Gambia,"[13.443182,-15.310139]",65.5,45,18,29
Georgia,"[42.315407,43.356892]",73.3,66,92,34
Germany,"[51.165691,10.451526]",81.7,100,-,97
Ghana,"[7.946527,-1.023194]",66.3,41,42,13
Greece,"[39.074208,21.824312]",81.1,100,-,92
Grenada,"[12.262776,-61.604171]",72.9,-,-,-
Guatemala,"[15.783471,-90.230759]",72,56,-,-
Guinea,"[9.945587,-9.696645]",61,-,20,-
Guinea-Bissau,"[11.803749,-15.180413]",60.2,24,18,12
Guyana,"[4.860416,-58.93018]",65.7,-,-,-
Haiti,"[18.971187,-72.285215]",64.1,-,22,-
Honduras,"[15.199999,-86.241905]",71.9,-,-,50
Hungary,"[47.162494,19.503304]",76.4,93,-,88
Iceland,"[64.963051,-19.020835]",82.3,100,-,84
India,"[20.593684,78.96288]",70.8,-,68,46
Indonesia,"[-0.789275,113.921327]",71.3,-,94,-
Iran (Islamic Republic of),"[32.427908,53.688046]",77.3,94,-,-
Iraq,"[33.223191,43.679291]",72.4,60,97,43
Ireland,"[53.41291,-8.24389]",81.8,97,-,83
Israel,"[31.046051,34.851612]",82.6,99,-,95
Italy,"[41.87194,12.56738]",83,96,-,96
Jamaica,"[18.109581,-77.297508]",76,-,-,-
Japan,"[36.204824,138.252924]",84.3,99,-,81
Jordan,"[30.585164,36.238414]",77.9,86,-,82
Kazakhstan,"[48.019573,66.923684]",74,89,-,-
Kenya,"[-0.023559,37.906193]",66.1,-,27,-
Kiribati,"[-3.370417,-168.734039]",59.4,15,56,27
Kuwait,"[29.31166,47.481766]",81,100,-,100
Kyrgyzstan,"[41.20438,74.766098]",74.2,70,100,92
Lao People's Republic,"[19.85627,102.495496]",68.5,18,56,61
Latvia,"[56.879635,24.603189]",75.4,96,-,83
Lebanon,"[33.854721,35.862285]",76.4,48,-,16
Lesotho,"[-29.609988,28.233608]",50.7,29,6,48
